step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
35,8.0,8.0,11.0,13.0,15.0,11.0,8.0,8.0,10.0,8.0,22.0,11.0,8.0,8.0,127.0,12.0,12.0,15.0,8.0,8.0,11.0,264.0,11.0,14.0
36,8.0,10.0,11.0,11.0,19.0,10.0,8.0,10.0,9.0,13.0,23.0,10.0,8.0,10.0,123.0,10.0,15.0,13.0,8.0,10.0,34.0,322.0,15.0,13.0
37,10.0,9.0,13.0,10.0,26.0,16.0,10.0,9.0,12.0,16.0,14.0,16.0,10.0,9.0,37.0,13.0,67.0,23.0,10.0,9.0,11.0,65.0,16.0,15.0
38,9.0,10.0,102.0,12.0,21.0,11.0,9.0,10.0,8.0,13.0,21.0,11.0,9.0,10.0,124.0,12.0,13.0,12.0,9.0,10.0,29.0,454.0,18.0,15.0
39,10.0,8.0,14.0,11.0,12.0,14.0,10.0,8.0,10.0,27.0,12.0,14.0,10.0,8.0,125.0,10.0,16.0,13.0,10.0,8.0,11.0,279.0,24.0,15.0
40,8.0,12.0,11.0,15.0,16.0,11.0,8.0,12.0,10.0,10.0,16.0,11.0,8.0,12.0,101.0,12.0,64.0,10.0,8.0,12.0,55.0,29.0,13.0,13.0
41,10.0,8.0,12.0,14.0,20.0,11.0,10.0,8.0,12.0,21.0,20.0,12.0,10.0,8.0,105.0,12.0,17.0,15.0,10.0,8.0,12.0,258.0,13.0,18.0
42,8.0,10.0,11.0,16.0,20.0,12.0,8.0,10.0,11.0,18.0,20.0,13.0,8.0,10.0,104.0,14.0,38.0,10.0,8.0,10.0,10.0,316.0,22.0,13.0
43,10.0,9.0,101.0,10.0,16.0,12.0,10.0,9.0,9.0,20.0,17.0,14.0,10.0,9.0,95.0,8.0,28.0,10.0,10.0,9.0,80.0,311.0,39.0,13.0
44,9.0,9.0,107.0,10.0,16.0,12.0,9.0,9.0,10.0,21.0,16.0,17.0,9.0,9.0,20.0,11.0,16.0,25.0,9.0,9.0,11.0,500.0,13.0,21.0
45,12.0,12.0,12.0,11.0,22.0,18.0,12.0,12.0,12.0,16.0,20.0,24.0,12.0,12.0,37.0,18.0,48.0,11.0,12.0,12.0,12.0,319.0,21.0,10.0
46,10.0,10.0,110.0,12.0,18.0,15.0,10.0,10.0,9.0,25.0,18.0,9.0,10.0,10.0,91.0,13.0,18.0,14.0,10.0,10.0,11.0,137.0,21.0,20.0
47,10.0,10.0,12.0,13.0,17.0,10.0,10.0,10.0,10.0,19.0,14.0,18.0,10.0,10.0,98.0,13.0,55.0,15.0,10.0,10.0,12.0,294.0,17.0,15.0
48,11.0,10.0,109.0,19.0,20.0,20.0,11.0,10.0,9.0,13.0,18.0,17.0,11.0,10.0,24.0,13.0,20.0,14.0,11.0,10.0,111.0,248.0,16.0,11.0
49,10.0,9.0,112.0,14.0,17.0,16.0,10.0,9.0,10.0,17.0,15.0,20.0,10.0,9.0,110.0,20.0,25.0,17.0,10.0,9.0,118.0,427.0,17.0,15.0
50,9.0,10.0,110.0,14.0,20.0,16.0,9.0,10.0,10.0,17.0,19.0,17.0,9.0,10.0,32.0,16.0,20.0,15.0,9.0,10.0,117.0,500.0,19.0,12.0
51,10.0,10.0,107.0,13.0,18.0,13.0,10.0,10.0,10.0,20.0,16.0,24.0,10.0,10.0,101.0,11.0,19.0,18.0,10.0,10.0,13.0,500.0,17.0,26.0
