step,baseline__seed0,baseline__seed1,baseline__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
80,10.0,8.0,100.0,10.0,8.0,113.0,10.0,8.0,107.0,300.0,18.0,18.0
81,8.0,12.0,97.0,8.0,12.0,111.0,8.0,12.0,117.0,458.0,27.0,18.0
82,14.0,9.0,94.0,14.0,9.0,103.0,14.0,9.0,105.0,500.0,23.0,13.0
83,9.0,11.0,101.0,9.0,11.0,76.0,9.0,11.0,79.0,500.0,19.0,15.0
84,9.0,11.0,100.0,9.0,11.0,17.0,9.0,11.0,110.0,500.0,26.0,16.0
85,9.0,9.0,102.0,9.0,9.0,17.0,9.0,9.0,115.0,491.0,23.0,19.0
86,10.0,10.0,98.0,10.0,10.0,108.0,10.0,10.0,112.0,279.0,30.0,21.0
87,10.0,11.0,101.0,10.0,11.0,116.0,10.0,11.0,111.0,500.0,25.0,23.0
88,9.0,9.0,99.0,9.0,9.0,116.0,9.0,9.0,114.0,229.0,29.0,20.0
89,9.0,9.0,97.0,9.0,9.0,110.0,9.0,9.0,110.0,178.0,26.0,21.0
90,9.0,9.0,103.0,9.0,9.0,116.0,9.0,9.0,113.0,352.0,19.0,24.0
91,9.0,10.0,102.0,9.0,10.0,110.0,9.0,10.0,116.0,500.0,30.0,19.0
92,10.0,10.0,99.0,10.0,10.0,72.0,10.0,10.0,112.0,361.0,39.0,12.0
93,10.0,10.0,105.0,10.0,10.0,66.0,10.0,10.0,114.0,301.0,21.0,27.0
94,9.0,12.0,103.0,9.0,12.0,74.0,9.0,12.0,83.0,500.0,26.0,17.0
95,10.0,9.0,102.0,10.0,9.0,109.0,10.0,9.0,111.0,497.0,26.0,13.0
96,11.0,9.0,107.0,11.0,9.0,78.0,11.0,9.0,118.0,500.0,80.0,18.0
97,11.0,10.0,103.0,11.0,10.0,70.0,11.0,10.0,115.0,500.0,48.0,16.0
