seed,episode,agent,return
0,121,Baseline FQL,20.0
0,121,Improved FQL-GTA,435.0
0,122,Baseline FQL,13.0
0,122,Improved FQL-GTA,235.0
0,123,Baseline FQL,17.0
0,123,Improved FQL-GTA,430.0
0,124,Baseline FQL,23.0
0,124,Improved FQL-GTA,459.0
0,125,Baseline FQL,11.0
0,125,Improved FQL-GTA,500.0
0,126,Baseline FQL,19.0
0,126,Improved FQL-GTA,500.0
0,127,Baseline FQL,22.0
0,127,Improved FQL-GTA,214.0
0,128,Baseline FQL,17.0
0,128,Improved FQL-GTA,234.0
0,129,Baseline FQL,17.0
0,129,Improved FQL-GTA,465.0
0,130,Baseline FQL,11.0
0,130,Improved FQL-GTA,500.0
0,131,Baseline FQL,21.0
0,131,Improved FQL-GTA,500.0
0,132,Baseline FQL,19.0
0,132,Improved FQL-GTA,476.0
0,133,Baseline FQL,13.0
0,133,Improved FQL-GTA,160.0
0,134,Baseline FQL,16.0
0,134,Improved FQL-GTA,500.0
0,135,Baseline FQL,15.0
0,135,Improved FQL-GTA,500.0
0,136,Baseline FQL,11.0
0,136,Improved FQL-GTA,500.0
0,137,Baseline FQL,25.0
0,137,Improved FQL-GTA,500.0
0,138,Baseline FQL,19.0
0,138,Improved FQL-GTA,485.0
0,139,Baseline FQL,21.0
0,139,Improved FQL-GTA,500.0
0,140,Baseline FQL,16.0
0,140,Improved FQL-GTA,500.0
0,141,Baseline FQL,15.0
0,141,Improved FQL-GTA,500.0
0,142,Baseline FQL,29.0
0,142,Improved FQL-GTA,486.0
0,143,Baseline FQL,13.0
0,143,Improved FQL-GTA,500.0
0,144,Baseline FQL,15.0
0,144,Improved FQL-GTA,429.0
0,145,Baseline FQL,21.0
0,145,Improved FQL-GTA,500.0
0,146,Baseline FQL,15.0
0,146,Improved FQL-GTA,500.0
0,147,Baseline FQL,19.0
0,147,Improved FQL-GTA,500.0
0,148,Baseline FQL,17.0
0,148,Improved FQL-GTA,500.0
0,149,Baseline FQL,14.0
0,149,Improved FQL-GTA,500.0
0,150,Baseline FQL,19.0
0,150,Improved FQL-GTA,478.0
0,151,Baseline FQL,13.0
0,151,Improved FQL-GTA,500.0
0,152,Baseline FQL,13.0
0,152,Improved FQL-GTA,500.0
0,153,Baseline FQL,24.0
0,153,Improved FQL-GTA,500.0
0,154,Baseline FQL,21.0
0,154,Improved FQL-GTA,500.0
0,155,Baseline FQL,22.0
0,155,Improved FQL-GTA,500.0
0,156,Baseline FQL,18.0
0,156,Improved FQL-GTA,500.0
0,157,Baseline FQL,24.0
0,157,Improved FQL-GTA,408.0
0,158,Baseline FQL,18.0
0,158,Improved FQL-GTA,500.0
0,159,Baseline FQL,15.0
0,159,Improved FQL-GTA,455.0
0,160,Baseline FQL,18.0
0,160,Improved FQL-GTA,388.0
0,161,Baseline FQL,17.0
0,161,Improved FQL-GTA,500.0
0,162,Baseline FQL,20.0
0,162,Improved FQL-GTA,417.0
0,163,Baseline FQL,13.0
0,163,Improved FQL-GTA,500.0
0,164,Baseline FQL,15.0
0,164,Improved FQL-GTA,500.0
0,165,Baseline FQL,17.0
0,165,Improved FQL-GTA,500.0
0,166,Baseline FQL,11.0
0,166,Improved FQL-GTA,500.0
0,167,Baseline FQL,14.0
0,167,Improved FQL-GTA,500.0
0,168,Baseline FQL,15.0
0,168,Improved FQL-GTA,500.0
0,169,Baseline FQL,13.0
0,169,Improved FQL-GTA,500.0
0,170,Baseline FQL,15.0
0,170,Improved FQL-GTA,474.0
0,171,Baseline FQL,11.0
0,171,Improved FQL-GTA,396.0
0,172,Baseline FQL,14.0
0,172,Improved FQL-GTA,500.0
0,173,Baseline FQL,14.0
0,173,Improved FQL-GTA,500.0
0,174,Baseline FQL,21.0
0,174,Improved FQL-GTA,500.0
0,175,Baseline FQL,13.0
0,175,Improved FQL-GTA,500.0
0,176,Baseline FQL,27.0
0,176,Improved FQL-GTA,385.0
0,177,Baseline FQL,18.0
0,177,Improved FQL-GTA,477.0
0,178,Baseline FQL,19.0
0,178,Improved FQL-GTA,392.0
0,179,Baseline FQL,29.0
0,179,Improved FQL-GTA,500.0
0,180,Baseline FQL,13.0
0,180,Improved FQL-GTA,500.0
0,181,Baseline FQL,16.0
0,181,Improved FQL-GTA,500.0
0,182,Baseline FQL,19.0
0,182,Improved FQL-GTA,500.0
0,183,Baseline FQL,23.0
0,183,Improved FQL-GTA,497.0
0,184,Baseline FQL,25.0
0,184,Improved FQL-GTA,500.0
0,185,Baseline FQL,17.0
0,185,Improved FQL-GTA,500.0
0,186,Baseline FQL,25.0
0,186,Improved FQL-GTA,500.0
0,187,Baseline FQL,17.0
0,187,Improved FQL-GTA,432.0
0,188,Baseline FQL,25.0
0,188,Improved FQL-GTA,328.0
0,189,Baseline FQL,17.0
0,189,Improved FQL-GTA,500.0
0,190,Baseline FQL,21.0
0,190,Improved FQL-GTA,500.0
0,191,Baseline FQL,16.0
0,191,Improved FQL-GTA,500.0
0,192,Baseline FQL,21.0
0,192,Improved FQL-GTA,500.0
0,193,Baseline FQL,27.0
0,193,Improved FQL-GTA,499.0
0,194,Baseline FQL,15.0
0,194,Improved FQL-GTA,500.0
0,195,Baseline FQL,19.0
0,195,Improved FQL-GTA,500.0
0,196,Baseline FQL,13.0
0,196,Improved FQL-GTA,500.0
0,197,Baseline FQL,17.0
0,197,Improved FQL-GTA,330.0
0,198,Baseline FQL,19.0
0,198,Improved FQL-GTA,453.0
0,199,Baseline FQL,33.0
0,199,Improved FQL-GTA,500.0
0,200,Baseline FQL,30.0
0,200,Improved FQL-GTA,500.0
0,201,Baseline FQL,32.0
0,201,Improved FQL-GTA,500.0
0,202,Baseline FQL,22.0
0,202,Improved FQL-GTA,500.0
0,203,Baseline FQL,17.0
0,203,Improved FQL-GTA,500.0
0,204,Baseline FQL,27.0
0,204,Improved FQL-GTA,462.0
0,205,Baseline FQL,24.0
0,205,Improved FQL-GTA,500.0
0,206,Baseline FQL,20.0
0,206,Improved FQL-GTA,404.0
0,207,Baseline FQL,16.0
0,207,Improved FQL-GTA,482.0
0,208,Baseline FQL,19.0
0,208,Improved FQL-GTA,368.0
0,209,Baseline FQL,27.0
0,209,Improved FQL-GTA,500.0
0,210,Baseline FQL,23.0
0,210,Improved FQL-GTA,500.0
0,211,Baseline FQL,24.0
0,211,Improved FQL-GTA,500.0
0,212,Baseline FQL,28.0
0,212,Improved FQL-GTA,500.0
0,213,Baseline FQL,24.0
0,213,Improved FQL-GTA,500.0
0,214,Baseline FQL,24.0
0,214,Improved FQL-GTA,412.0
0,215,Baseline FQL,26.0
0,215,Improved FQL-GTA,500.0
0,216,Baseline FQL,15.0
